name;active;solve_timeout;mip_gap;start_date;timeseries_length;frequency;input_data;sf_dem_[-];sf_res_[-];P_MAX_IN_[MW];P_MAX_OUT_[MW];P_MIN_IN_[-];P_MIN_OUT_[-];SOC_MIN_[MWh];SOC_MAX_[MWh];SOC_INI_[-];ETA_SOC_[-];soc_breakpoints_[-];soc_loss_breakpoints_[-];p_in_breakpoints_[-];p_in_stor_breakpoints_[-];p_out_stor_breakpoints_[-];p_out_breakpoints_[-]
caes_winter_2_segments_reg;0;900;0.01;18.01.2021 00:00;336;1H;data_jan_2021.csv;0.004955;0.015612;52.72;31.53;0.638;0.352;0;342.697;0;0.999963;;;0.0000, 0.6380, 1.0000;0.0000, 0.4481, 0.7443;0.0000, 0.5568, 1.2547;0.0000, 0.3520, 1.0000
caes_winter_3_segments_reg;0;900;0.01;18.01.2021 00:00;336;1H;data_jan_2021.csv;0.004955;0.015612;52.72;31.53;0.638;0.352;0;342.697;0;0.999963;;;0.0000, 0.6380, 0.8066, 1.0000;0.0000, 0.4360, 0.5967, 0.7341;0.0000, 0.5720, 1.0618, 1.3061;0.0000, 0.3520, 0.8430, 1.0000
caes_winter_4_segements_reg;0;900;0.01;18.01.2021 00:00;336;1H;data_jan_2021.csv;0.004955;0.015612;52.72;31.53;0.638;0.352;0;342.697;0;0.999963;;;0.0000, 0.6380, 0.7787, 0.9123, 1.0000;0.0000, 0.4353, 0.5710, 0.6763, 0.7288;0.0000, 0.5753, 0.9604, 1.1603, 1.3149;0.0000, 0.3520, 0.7471, 0.9138, 1.0000
caes_winter_5_segments_reg;0;900;0.01;18.01.2021 00:00;336;1H;data_jan_2021.csv;0.004955;0.015612;52.72;31.53;0.638;0.352;0;342.697;0;0.999963;;;0.0000, 0.6380, 0.7830, 0.8624, 0.8625, 1.0000;0.0000, 0.4353, 0.5753, 0.6347, 0.6427, 0.7301;0.0000, 0.5758, 0.9247, 1.0783, 1.2087, 1.3185;0.0000, 0.3520, 0.7114, 0.8491, 0.9440, 1.0000
caes_winter_6_segments_reg;0;900;0.01;18.01.2021 00:00;336;1H;data_jan_2021.csv;0.004955;0.015612;52.72;31.53;0.638;0.352;0;342.697;0;0.999963;;;0.0000, 0.6380, 0.7800, 0.8294, 0.9138, 0.9986, 1.0000;0.0000, 0.4353, 0.5723, 0.6106, 0.6779, 0.7265, 0.7444;0.0000, 0.5766, 0.8259, 0.9623, 1.0822, 1.2101, 1.3187;0.0000, 0.3520, 0.6109, 0.7462, 0.8519, 0.9449, 1.0000
caes_sommer_2_segments_reg;0;900;0.01;12.07.2021 00:00;336;1H;data_jul_2021.csv;0.004955;0.015612;52.72;31.53;0.638;0.352;0;342.697;0;0.999963;;;0.0000, 0.6380, 1.0000;0.0000, 0.4481, 0.7443;0.0000, 0.5568, 1.2547;0.0000, 0.3520, 1.0000
caes_sommer_3_segments_reg;0;900;0.01;12.07.2021 00:00;336;1H;data_jul_2021.csv;0.004955;0.015612;52.72;31.53;0.638;0.352;0;342.697;0;0.999963;;;0.0000, 0.6380, 0.8066, 1.0000;0.0000, 0.4360, 0.5967, 0.7341;0.0000, 0.5720, 1.0618, 1.3061;0.0000, 0.3520, 0.8430, 1.0000
caes_sommer_4_segments_reg;0;900;0.01;12.07.2021 00:00;336;1H;data_jul_2021.csv;0.004955;0.015612;52.72;31.53;0.638;0.352;0;342.697;0;0.999963;;;0.0000, 0.6380, 0.7787, 0.9123, 1.0000;0.0000, 0.4353, 0.5710, 0.6763, 0.7288;0.0000, 0.5753, 0.9604, 1.1603, 1.3149;0.0000, 0.3520, 0.7471, 0.9138, 1.0000
caes_sommer_5_segments_reg;0;900;0.01;12.07.2021 00:00;336;1H;data_jul_2021.csv;0.004955;0.015612;52.72;31.53;0.638;0.352;0;342.697;0;0.999963;;;0.0000, 0.6380, 0.7830, 0.8624, 0.8625, 1.0000;0.0000, 0.4353, 0.5753, 0.6347, 0.6427, 0.7301;0.0000, 0.5758, 0.9247, 1.0783, 1.2087, 1.3185;0.0000, 0.3520, 0.7114, 0.8491, 0.9440, 1.0000
caes_sommer_6_segments_reg;0;900;0.01;12.07.2021 00:00;336;1H;data_jul_2021.csv;0.004955;0.015612;52.72;31.53;0.638;0.352;0;342.697;0;0.999963;;;0.0000, 0.6380, 0.7800, 0.8294, 0.9138, 0.9986, 1.0000;0.0000, 0.4353, 0.5723, 0.6106, 0.6779, 0.7265, 0.7444;0.0000, 0.5766, 0.8259, 0.9623, 1.0822, 1.2101, 1.3187;0.0000, 0.3520, 0.6109, 0.7462, 0.8519, 0.9449, 1.0000
caes_winter_4_segments_max;0;900;0.01;18.01.2021 00:00;336;1H;data_jan_2021.csv;0.004955;0.015612;52.72;31.53;0.638;0.352;0;342.697;0;1;;;0.0000, 0.6380, 0.7787, 0.9123, 1.0000;0.0000, 0.4353, 0.5710, 0.6763, 0.7288;0.0000, 0.5753, 0.9604, 1.1603, 1.3149;0.0000, 0.3520, 0.7471, 0.9138, 1.0000
caes_winter_4_segments_mean;0;900;0.01;18.01.2021 00:00;336;1H;data_jan_2021.csv;0.004955;0.015612;52.72;31.53;0.638;0.352;0;342.697;0;0.994515;;;0.0000, 0.6380, 0.7787, 0.9123, 1.0000;0.0000, 0.4353, 0.5710, 0.6763, 0.7288;0.0000, 0.5753, 0.9604, 1.1603, 1.3149;0.0000, 0.3520, 0.7471, 0.9138, 1.0000
caes_winter_4_segments_reg;0;900;0.01;18.01.2021 00:00;336;1H;data_jan_2021.csv;0.004955;0.015612;52.72;31.53;0.638;0.352;0;342.697;0;0.999963;;;0.0000, 0.6380, 0.7787, 0.9123, 1.0000;0.0000, 0.4353, 0.5710, 0.6763, 0.7288;0.0000, 0.5753, 0.9604, 1.1603, 1.3149;0.0000, 0.3520, 0.7471, 0.9138, 1.0000
caes_winter_4_segments_2_segments;1;900;0.01;18.01.2021 00:00;336;1H;data_jan_2021.csv;0.004955;0.015612;52.72;31.53;0.638;0.352;0;342.697;0;;0.00000000, 0.00001000, 1.00000000;0.00000000, 0.00002311, 0.00002537;0.0000, 0.6380, 0.7787, 0.9123, 1.0000;0.0000, 0.4353, 0.5710, 0.6763, 0.7288;0.0000, 0.5753, 0.9604, 1.1603, 1.3149;0.0000, 0.3520, 0.7471, 0.9138, 1.0000
caes_winter_4_segments_3_segments;1;900;0.01;18.01.2021 00:00;336;1H;data_jan_2021.csv;0.004955;0.015612;52.72;31.53;0.638;0.352;0;342.697;0;;0.00000000, 0.00001000, 0.11251399, 1.00000000;0.00000000, 0.00000000, 0.00002369, 0.00002521;0.0000, 0.6380, 0.7787, 0.9123, 1.0000;0.0000, 0.4353, 0.5710, 0.6763, 0.7288;0.0000, 0.5753, 0.9604, 1.1603, 1.3149;0.0000, 0.3520, 0.7471, 0.9138, 1.0000
caes_winter_4_segments_4_segments;1;900;0.01;18.01.2021 00:00;336;1H;data_jan_2021.csv;0.004955;0.015612;52.72;31.53;0.638;0.352;0;342.697;0;;0.00000000, 0.00001000, 0.10369134, 0.79454917, 1.00000000;0.00000000, 0.00000000, 0.00002334, 0.00002528, 0.00002435;0.0000, 0.6380, 0.7787, 0.9123, 1.0000;0.0000, 0.4353, 0.5710, 0.6763, 0.7288;0.0000, 0.5753, 0.9604, 1.1603, 1.3149;0.0000, 0.3520, 0.7471, 0.9138, 1.0000
caes_sommer_4_segments_max;0;900;0.01;12.07.2021 00:00;336;1H;data_jul_2021.csv;0.004955;0.015612;52.72;31.53;0.638;0.352;0;342.697;0;1;;;0.0000, 0.6380, 0.7787, 0.9123, 1.0000;0.0000, 0.4353, 0.5710, 0.6763, 0.7288;0.0000, 0.5753, 0.9604, 1.1603, 1.3149;0.0000, 0.3520, 0.7471, 0.9138, 1.0000
caes_sommer_4_segments_mean;0;900;0.01;12.07.2021 00:00;336;1H;data_jul_2021.csv;0.004955;0.015612;52.72;31.53;0.638;0.352;0;342.697;0;0.994515;;;0.0000, 0.6380, 0.7787, 0.9123, 1.0000;0.0000, 0.4353, 0.5710, 0.6763, 0.7288;0.0000, 0.5753, 0.9604, 1.1603, 1.3149;0.0000, 0.3520, 0.7471, 0.9138, 1.0000
caes_sommer_4_segments_reg;0;900;0.01;12.07.2021 00:00;336;1H;data_jul_2021.csv;0.004955;0.015612;52.72;31.53;0.638;0.352;0;342.697;0;0.999963;;;0.0000, 0.6380, 0.7787, 0.9123, 1.0000;0.0000, 0.4353, 0.5710, 0.6763, 0.7288;0.0000, 0.5753, 0.9604, 1.1603, 1.3149;0.0000, 0.3520, 0.7471, 0.9138, 1.0000
caes_sommer_4_segments_2_segments;1;900;0.01;12.07.2021 00:00;336;1H;data_jul_2021.csv;0.004955;0.015612;52.72;31.53;0.638;0.352;0;342.697;0;;0.00000000, 0.00001000, 1.00000000;0.00000000, 0.00002311, 0.00002537;0.0000, 0.6380, 0.7787, 0.9123, 1.0000;0.0000, 0.4353, 0.5710, 0.6763, 0.7288;0.0000, 0.5753, 0.9604, 1.1603, 1.3149;0.0000, 0.3520, 0.7471, 0.9138, 1.0000
caes_sommer_4_segments_3_segments;1;900;0.01;12.07.2021 00:00;336;1H;data_jul_2021.csv;0.004955;0.015612;52.72;31.53;0.638;0.352;0;342.697;0;;0.00000000, 0.00001000, 0.11251399, 1.00000000;0.00000000, 0.00000000, 0.00002369, 0.00002521;0.0000, 0.6380, 0.7787, 0.9123, 1.0000;0.0000, 0.4353, 0.5710, 0.6763, 0.7288;0.0000, 0.5753, 0.9604, 1.1603, 1.3149;0.0000, 0.3520, 0.7471, 0.9138, 1.0000
caes_sommer_4_segments_4_segments;1;900;0.01;12.07.2021 00:00;336;1H;data_jul_2021.csv;0.004955;0.015612;52.72;31.53;0.638;0.352;0;342.697;0;;0.00000000, 0.00001000, 0.10369134, 0.79454917, 1.00000000;0.00000000, 0.00000000, 0.00002334, 0.00002528, 0.00002435;0.0000, 0.6380, 0.7787, 0.9123, 1.0000;0.0000, 0.4353, 0.5710, 0.6763, 0.7288;0.0000, 0.5753, 0.9604, 1.1603, 1.3149;0.0000, 0.3520, 0.7471, 0.9138, 1.0000
