name;active;solved;solve_timeout;mip_gap;final_mip_gap;solution_time;objective;eta_in_mean;eta_out_mean
caes_winter_2_segments_reg;1;1;900;0.01;0.009074649;0.11;2545330.032;0.71400357;0.679275154
caes_winter_3_segments_reg;1;1;900;0.01;0.008235936;0.16;2543390.947;0.705212496;0.682040059
caes_winter_4_segments_reg;1;1;900;0.01;0.00781531;0.17;2542752.494;0.704804432;0.664811283
caes_winter_5_segments_reg;1;1;900;0.01;0.007316753;0.14;2541483.832;0.704121755;0.662476027
caes_winter_6_segments_reg;1;1;900;0.01;0.006045731;0.14;2538251.136;0.717776323;0.674343398
caes_sommer_2_segments_reg;1;1;900;0.01;0.002312168;0.34;2340179.635;0.740025333;0.774815754
caes_sommer_3_segments_reg;1;1;900;0.01;0.003234597;0.38;2346422.749;0.730473135;0.770699612
caes_sommer_4_segments_reg;1;1;900;0.01;0.004638383;0.28;2352964.846;0.728328984;0.768328221
caes_sommer_5_segments_reg;1;1;900;0.01;0.003853924;0.45;2350752.612;0.728437772;0.762031243
caes_sommer_6_segments_reg;1;1;900;0.01;0.002058389;0.48;2342749.111;0.739512373;0.77740336
caes_winter_4_segments_max;1;1;900;0.01;0.007486785;0.13;2541898.794;0.706108271;0.683677097
caes_winter_4_segments_mean;1;1;900;0.01;0.007636406;0.14;2544003.463;0.701828714;0.661378183
caes_winter_4_segments_reg;1;1;900;0.01;0.00781531;0.14;2542752.494;0.704804432;0.664811283
caes_winter_4_segments_2_segments;0;0;900;0.01;;;;;
caes_winter_4_segments_3_segments;0;0;900;0.01;;;;;
caes_winter_4_segments_4_segments;0;0;900;0.01;;;;;
caes_sommer_4_segments_max;1;1;900;0.01;0.00396101;0.45;2351288.967;0.730327991;0.768889588
caes_sommer_4_segments_mean;1;1;900;0.01;0.00160991;0.5;2356481.297;0.725486627;0.770776783
caes_sommer_4_segments_reg;1;1;900;0.01;0.004638383;0.33;2352964.846;0.728328984;0.768328221
caes_sommer_4_segments_2_segments;0;0;900;0.01;;;;;
caes_sommer_4_segments_3_segments;0;0;900;0.01;;;;;
caes_sommer_4_segments_4_segments;0;0;900;0.01;;;;;
